DR_NO,DATE OCC,Date Rptd,TIME OCC,AREA,AREA NAME,Rpt Dist No,Crm Cd,Crm Cd Desc,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,LOCATION,LAT,LON,SexualAssault,Age_Group,DATE_OCC_dt,datetime_occurrence,Premise_Category
211807437,03/10/2021 12:00:00 AM,03/10/2021 12:00:00 AM,930,18,Southeast,1832,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,27,M,W,501.0,SINGLE FAMILY DWELLING,400 W  105TH                        ST,33.941,-118.2818,1,18-29,2021-03-10,2021-03-10 09:30:00,Indoor
210316451,09/24/2021 12:00:00 AM,09/24/2021 12:00:00 AM,1900,3,Southwest,363,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,72,M,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",4000    BUCKINGHAM                   RD,34.0144,-118.3421,1,45+,2021-09-24,2021-09-24 19:00:00,Indoor
210315752,09/12/2021 12:00:00 AM,09/12/2021 12:00:00 AM,35,3,Southwest,392,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,33,F,B,108.0,PARKING LOT,4300    CRENSHAW                     BL,33.9952,-118.3309,1,30-44,2021-09-12,2021-09-12 00:35:00,Outdoor
211421555,11/02/2021 12:00:00 AM,11/16/2021 12:00:00 AM,1100,14,Pacific,1428,860,BATTERY WITH SEXUAL CONTACT,12,F,B,720.0,JUNIOR HIGH SCHOOL,10800    WOODBINE                     ST,34.0238,-118.4168,1,<18,2021-11-02,2021-11-02 11:00:00,Institution
211110328,06/20/2021 12:00:00 AM,07/02/2021 12:00:00 AM,1645,11,Northeast,1161,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,27,F,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",1100 N  KENMORE                      AV,34.0908,-118.2974,1,18-29,2021-06-20,2021-06-20 16:45:00,Indoor
211205457,01/22/2021 12:00:00 AM,01/22/2021 12:00:00 AM,415,12,77th Street,1266,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,34,M,B,104.0,DRIVEWAY,700 W  82ND                         ST,33.9661,-118.2849,1,30-44,2021-01-22,2021-01-22 04:15:00,Other/Uncategorized
211222879,11/06/2021 12:00:00 AM,11/06/2021 12:00:00 AM,1500,12,77th Street,1258,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,24,F,B,501.0,SINGLE FAMILY DWELLING,78TH,33.9688,-118.2695,1,18-29,2021-11-06,2021-11-06 15:00:00,Indoor
211006214,03/14/2021 12:00:00 AM,03/14/2021 12:00:00 AM,1120,10,West Valley,1008,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,74,F,H,501.0,SINGLE FAMILY DWELLING,7300    DE CELIS                     PL,34.2033,-118.4945,1,45+,2021-03-14,2021-03-14 11:20:00,Indoor
212013412,08/21/2021 12:00:00 AM,08/24/2021 12:00:00 AM,2000,20,Olympic,2049,860,BATTERY WITH SEXUAL CONTACT,33,F,H,101.0,STREET,2900 W  8TH                          ST,34.0577,-118.2891,1,30-44,2021-08-21,2021-08-21 20:00:00,Outdoor
210715954,11/24/2021 12:00:00 AM,11/24/2021 12:00:00 AM,200,7,Wilshire,766,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,21,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",1500    CRENSHAW                     BL,34.0468,-118.3305,1,18-29,2021-11-24,2021-11-24 02:00:00,Indoor
211204952,01/13/2021 12:00:00 AM,01/13/2021 12:00:00 AM,200,12,77th Street,1266,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,23,F,B,501.0,SINGLE FAMILY DWELLING,300 W  83RD                         ST,33.9661,-118.2849,1,18-29,2021-01-13,2021-01-13 02:00:00,Indoor
210812872,08/17/2021 12:00:00 AM,08/17/2021 12:00:00 AM,400,8,West LA,897,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,27,F,W,501.0,SINGLE FAMILY DWELLING,3300    CASTLE HEIGHTS               AV,34.0312,-118.4,1,18-29,2021-08-17,2021-08-17 04:00:00,Indoor
210317348,10/14/2021 12:00:00 AM,10/14/2021 12:00:00 AM,720,3,Southwest,331,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,41,F,B,103.0,ALLEY,JEFFERSON                    BL,34.0255,-118.3508,1,30-44,2021-10-14,2021-10-14 07:20:00,Outdoor
210607403,03/22/2021 12:00:00 AM,03/23/2021 12:00:00 AM,800,6,Hollywood,663,121,"RAPE, FORCIBLE",18,F,B,122.0,"VEHICLE, PASSENGER/TRUCK",1200 N  SYCAMORE                     AV,34.0926,-118.3428,1,18-29,2021-03-22,2021-03-22 08:00:00,Other/Uncategorized
210320174,12/13/2021 12:00:00 AM,12/13/2021 12:00:00 AM,1945,3,Southwest,362,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,26,M,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",3700    CHESAPEAKE                   AV,34.017,-118.3477,1,18-29,2021-12-13,2021-12-13 19:45:00,Indoor
210515149,10/22/2021 12:00:00 AM,10/22/2021 12:00:00 AM,600,5,Harbor,513,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,26,F,H,501.0,SINGLE FAMILY DWELLING,1100    252ND                        ST,33.7958,-118.296,1,18-29,2021-10-22,2021-10-22 06:00:00,Indoor
210216791,10/27/2021 12:00:00 AM,10/28/2021 12:00:00 AM,2000,2,Rampart,235,121,"RAPE, FORCIBLE",31,F,W,503.0,HOTEL,N  ALVARADO                     ST,34.0703,-118.268,1,30-44,2021-10-27,2021-10-27 20:00:00,Other/Uncategorized
210911103,06/26/2021 12:00:00 AM,06/30/2021 12:00:00 AM,400,9,Van Nuys,926,121,"RAPE, FORCIBLE",28,F,H,507.0,CONDOMINIUM/TOWNHOUSE,6600    SYLMAR                       AV,34.1907,-118.4465,1,18-29,2021-06-26,2021-06-26 04:00:00,Indoor
212009908,06/02/2021 12:00:00 AM,06/02/2021 12:00:00 AM,1320,20,Olympic,2058,860,BATTERY WITH SEXUAL CONTACT,40,F,H,801.0,MTA BUS,VERMONT,34.053,-118.2916,1,30-44,2021-06-02,2021-06-02 13:20:00,Other/Uncategorized
210817782,12/19/2021 12:00:00 AM,12/19/2021 12:00:00 AM,830,8,West LA,859,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,50,M,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",8600    CASHIO                       ST,34.0512,-118.3788,1,45+,2021-12-19,2021-12-19 08:30:00,Indoor
211915167,09/05/2021 12:00:00 AM,11/02/2021 12:00:00 AM,700,19,Mission,1975,121,"RAPE, FORCIBLE",13,F,O,501.0,SINGLE FAMILY DWELLING,14300    OSBORNE                      ST,34.2342,-118.4436,1,<18,2021-09-05,2021-09-05 07:00:00,Indoor
211222005,10/22/2021 12:00:00 AM,10/22/2021 12:00:00 AM,1200,12,77th Street,1218,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,21,F,H,501.0,SINGLE FAMILY DWELLING,5400 S  HOOVER                       ST,33.9932,-118.2871,1,18-29,2021-10-22,2021-10-22 12:00:00,Indoor
211715846,12/05/2021 12:00:00 AM,12/05/2021 12:00:00 AM,230,17,Devonshire,1797,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,32,F,H,101.0,STREET,HAYVENHURST,34.2266,-118.4939,1,30-44,2021-12-05,2021-12-05 02:30:00,Outdoor
210410715,07/14/2021 12:00:00 AM,07/15/2021 12:00:00 AM,1745,4,Hollenbeck,466,860,BATTERY WITH SEXUAL CONTACT,16,M,H,101.0,STREET,300 N  SAVANNAH                     ST,34.0425,-118.2026,1,<18,2021-07-14,2021-07-14 17:45:00,Outdoor
211912895,09/04/2021 12:00:00 AM,09/04/2021 12:00:00 AM,1900,19,Mission,1974,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,63,F,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",14700    RAYEN                        ST,34.2337,-118.4536,1,45+,2021-09-04,2021-09-04 19:00:00,Indoor
